		OAS	BS			SLS	BLS
Start: 
10000		2	1			2	71
19500		1	0			0	37
29000		1	1			1	19
38500		1	0			1	108
48000		1	1			1	116
57500		1	1			0	133
67000		1	1			1	150
76500		1	0			1	157
86000		0	1			1	164
95500		0	0			0	225
105000		0	1			0	203
114500		1	0			0	226
124000		1	1			1	244
133500		0	1			0	262
143000		1	1			0	270
152500		1	0			1	299
162000		0	1			1	301
171500		1	1			1	342
181000		1	0			0	352
190500		1	0			0	364
Middle: 
10000		19	1			20	27
19500		37	1			36	38
29000		62	1			54	55
38500		71	1			70	88
48000		89	1			87	108
57500		105	1			105	117
67000		127	1			132	141
76500		148	1			144	161
86000		172	1			162	176
95500		175	0			174	201
105000		197	0			194	217
114500		214	1			223	227
124000		235	1			231	243
133500		249	1			246	267
143000		266	1			264	279
152500		291	1			284	297
162000		308	1			303	324
171500		317	0			312	341
181000		335	0			346	348
190500		352	0			352	381
End: 
10000		19	1			19	19
19500		37	1			37	36
29000		54	1			53	53
38500		71	1			70	80
48000		88	1			88	87
57500		106	0			105	115
67000		133	1			126	123
76500		146	1			143	144
86000		167	1			157	160
95500		180	1			189	177
105000		197	1			205	195
114500		214	1			222	211
124000		240	1			229	229
133500		249	0			246	254
143000		260	1			259	265
152500		287	0			284	277
162000		309	1			298	298
171500		317	1			315	322
181000		335	1			346	331
190500		352	1			347	355
Nowhere: 
10000		19	1			19	19
19500		36	0			36	35
29000		54	0			53	53
38500		71	0			71	69
48000		88	1			88	87
57500		105	1			105	104
67000		125	1			132	127
76500		144	1			144	139
86000		171	1			160	160
95500		179	0			179	185
105000		196	1			194	202
114500		214	1			221	211
124000		238	0			227	224
133500		252	1			246	261
143000		274	0			259	263
152500		291	1			280	284
162000		313	1			298	296
171500		317	1			316	324
181000		331	1			341	337
190500		358	1			348	352
